Job_Title,Company,Location,Date_Posted,Looking_for,Category
"Jr Software Engineer: learn OpenStack, IaC for scientific computing/HPC",StackHPC,"Bristol, United Kingdom",26 October 2021,"Back end,Cloud,Integration,Numeric processing,Operations,Systems, Linux, HPC, Ansible, OpenStack, Slurm, Kubernetes, Docker",Developer / Engineer
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,"Big Data,Machine Learning, map-reduce, NoSQL, Spark, HBase, Hive, Kafka, Elasticsearch, Python, SQL - Java knowledge",Developer / Engineer
Senior Data Scientist (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,"Big Data,Integration,Machine Learning, Python/ SQL/Python data science libraries/ R/ Matlab/Deep learning framworks like Tensorflow, Keras",Other
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",25 October 2021,"Big Data,Machine Learning, Python/SQL/Java knowledge/Algorithm design and data structures/ Publishing APIs using web services",Other
Data Analyst,Bolt Talent Solutions,"Remote Work, South Africa, South Africa",25 October 2021,"Big Data,Database, SQL /Python/ Data Analysis/ Data Presentation/ NoSql databases/ Statistics/ Experimental Design",Data Analyst
Backend Python Developer for Distributed Company,DomainsBot.com,"Remote, Remote, Remote",22 October 2021,"Back end,Big Data,Cloud,Database,Machine Learning,Operations,Text Processing, AWS, REST, Message Passing",Developer / Engineer
Specialist Python Developer,Bolt Talent Solutions,"ebene, Mauritius/ South Africa",22 October 2021,crypto/ Bitcoin,Developer / Engineer
Senior Back-End Python Engineer,ActivePrime,"Mountain View, California, USA",21 October 2021,"Back end,Big Data,Cloud,Database,Finance,Front end,Integration,Lead,Machine Learning,Management,Numeric processing,Operations,Systems,Testing,Text Processing,Web",Administrator
Senior / Lead Python Developer,Improving Enterprises,"Plano, Texas, United States",21 October 2021,"Back end,Cloud,Database,Front end,Lead,Web, Django, ReactJS, AWS",Developer / Engineer
Senior Software Engineer (Python Stack/ Django / FinTech / Google Cloud) – Africa,CA Global,"Africa, Africa",21 October 2021,"Back end,Cloud,Database,Finance,Front end,Integration,Management,Systems,Web, Python, Django, MySQL, Bootstrap, NGINX, VPN Software - Full Stack",Developer / Engineer
Founder / Python Developer,Tradail Inc.,"Boston ( Preferably)  / Remote US, MA, USA",20 October 2021,"Database,Integration,Numeric processing,Operations",Developer / Engineer
Big Data Engineer,Logic20/20,"Seattle, WA, USA",19 October 2021,"Big Data,Machine Learning,Management,Testing",Developer / Engineer
Senior Software Engineer,Lambda,"Remote, Remote, United States, Canada or UK",19 October 2021,"Back end,Front end,Web",Developer / Engineer
Senior Python Developer,Byte Surge,"Remote, United States",19 October 2021,"Back end,Web",Developer / Engineer
SENIOR PYTHON BACK-END DEVELOPER,FELFEL - Good food at work,"8045, Switzerland",19 October 2021,"Back end,Database,Finance,Management,Operations",Other
"Senior Software Engineer, Python",SmartRecruiters,"Berlin, Berlin, Germany",18 October 2021,"Back end,Cloud,Database,Front end,Testing,Web, Spark, AWS",Developer / Engineer
Full Stack Python Developer,Fourth Estate,"REMOTE, REMOTE",18 October 2021,"Back end,Big Data,Cloud,Database,Front end,Integration,Lead,Management,Systems,Web, Postgres, MongoDB, Elasticsearch, Flask, Python-Eve, AngularJS",Developer / Engineer
Senior Backend Engineer,Clay,"Remote, Remote, USA",14 October 2021,"Back end,Integration, Postgres, RabbitMQ, Django",Developer / Engineer
Data Science Manager - Python Standards Implementation,Capital One,"Mclean, Virginia, United States",14 October 2021,"Back end,Big Data,Cloud,Lead,Machine Learning,Management,Systems, AWS, Docker, PyData",Other
Remote Python Developer,Scopic,"Anywhere, Worldwide",14 October 2021,"Back end,Front end",Developer / Engineer
Senior Lead Python Developer,Wells Fargo,"Irving, Texas, United States",14 October 2021,"Lead, RESTful or SOAP web services",Developer / Engineer
Entry-level Django Developer,The Developer Society,"Birmingham, United Kingdom",14 October 2021,"Back end,Cloud,Database,Testing,Web, Django, Wagtail",Developer / Engineer
Backend software developer,Leaf Space,"Lomazzo, Como, Italy",14 October 2021,Back end,Developer / Engineer
Full Stack Developer,Level 12,"Jeffersonville, IN, United States",14 October 2021,Back end,Developer / Engineer
Senior Python Backend Engineer,Solvvy,"Remote, United States",13 October 2021,"Back end,Cloud,Database,Lead,Machine Learning,Text Processing,Web, Kubernetes, PostgreSQL, TypeScript, Pulumi",Developer / Engineer
Senior Software Engineer,Stansberry Research,"Baltimore, MD, United States",13 October 2021,Back end,Developer / Engineer
Senior Machine Learning Engineer,WattTime.org,"Remote U.S., Remote U.S., Remote U.S.",13 October 2021,"Back end,Database,Image Processing,Machine Learning, Python // scikit-learn // Unix // relational databases // cloud infrastructure",Developer / Engineer
Software Engineer,Acryl Data,"Mountain View, CA, United States",13 October 2021,"Back end,Big Data,Cloud,Database,Integration",Developer / Engineer
Senior Python Developer (100% Remote),VersaFeed.com,"Remote, Anywhere, United States",12 October 2021,"Back end,Big Data,Cloud,Database,Systems,Testing,Text Processing, Django, Linux (Ubuntu), Bash/Shell, Postgres, SQL, Python, PyTest, Jenkins, Selenium, Docker, AWS",Developer / Engineer
Senior/Middle Python Developer,SIT Alemira,"Sofia, Bulgary",12 October 2021,"Back end, Django, Fast API, Postres",Developer / Engineer
Senior Software Engineer (Python),TechnologyAdvice,"Nashville / REMOTE, Tennessee, United States",12 October 2021,"Back end,Front end",Developer / Engineer
"Remote Mid, Senior and Staff Python Engineers for Active Lifestyle Startup",Pocket Outdoor Media,"Boulder, Colorado, United States",12 October 2021,"Back end,Cloud,Front end,Integration,Web, Python, Django, Rest Api's",Developer / Engineer
Python Developer (m/w/d),retarus,"Lisbon, Portugal",09 October 2021,"Back end,Cloud, Microservices, REST, Docker, Continuous Integration, Linux",Developer / Engineer
Senior Python Engineer - Remote,Launch Potato,"Delray Beach, Florida, United States",07 October 2021,"Back end,Integration,Systems",Developer / Engineer
Lead Python Engineer - Remote,Launch Potato,"Delray Beach, Florida, United States",07 October 2021,"Back end,Integration,Lead",Developer / Engineer
Python Engineer,https://yougov.co.uk/,"100% Remote, India / Europe / UK",07 October 2021,"Back end,Web, Python, Flask, Django, MongoDB, Kubernetes, Docker and many more",Developer / Engineer
Test Automation Developer – Python/Pytest/BDD,pEp Security,"Barcelona, Barcelona, Spain",07 October 2021,"Cloud,Testing, BDD, Packer, Terraform, Pytest/BDD, encryption, IPsec",Developer / Engineer
Software Engineer,impress.ai,"Kochi, Kerala, India",06 October 2021,"Back end, Django",Developer / Engineer
Senior or Strong Mid-Level Python Developer [Long-Term] [Eastern Europe] [Remote],CrewNew,"Remote, Talinn, Estonia",05 October 2021,"Back end,Cloud,Front end,Machine Learning,Systems",Other
Director Of Engineering (First Eng Hire),Marqii,"Remote, US, US",04 October 2021,"Back end,Cloud,Front end,Integration,Operations,Web, Rest API, Point Of Sales, Payment Processing",Manager / Executive
Senior PyData Software Developer,Quansight,"Austin, TX, United States",04 October 2021,,Developer / Engineer
Backend Engineer,MSK.ai,"Remote, United Kingdom",04 October 2021,"Back end,Database,Integration,Testing,Web, Django Rest Framework, PostgreSQL, Redis, AWS, Docker, Git",Developer / Engineer
Senior Developer (Python/Django),Strix Tech Co.,"Kuwait City, Kuwait, Kuwait",03 October 2021,"Back end,Integration,Lead,Systems, React",Developer / Engineer
"Senior Engineer, Python","Saile, Inc.","Kansas City, MO, United States",01 October 2021,"Back end,Cloud,Machine Learning, Node.js; Javascript; AWS Lambda; PostreSQL",Developer / Engineer
Senior Backend Engineer - Connectivity,Nylas,"Remote, CA, WA, OR, CO, TX, IL, NY, MA & Toronto, United States or Canada",30 September 2021,Back end,Developer / Engineer
Python Software Developer (m/f/d),dicehub,"Frankfurt, Germany",30 September 2021,"Back end,Big Data,Cloud,Database,Front end,Integration,Machine Learning,Numeric processing,Systems,Web",Developer / Engineer
Senior Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",29 September 2021,Back end,Developer / Engineer
Software Engineer Python (m/f/d),PAYBACK GmbH,"München, Germany",29 September 2021,"Machine Learning,Testing, Kafka, Pandas, Spark, Pytest, Microservices, Kubernetes, OpenShift,",Developer / Engineer
Python Tech Lead for text processing team,PeakData AG,"Zug, Switzerland",27 September 2021,"Big Data,Database,Machine Learning, GitLab, AWS, Kubernetes, pandas",Developer / Engineer
Remote Python Developer,Scopic,"Any city, Worldwide",27 September 2021,"Back end,Front end",Developer / Engineer
Systems Engineer / Developer,techfolk,"Bristol or Cambridge or London, United Kingdom",27 September 2021,"Back end,Cloud,Integration,Lead,Operations,Systems, Site reliability, technical support, C++, data center, HPC, OpenStack, Slurm, Kubernetes, Docker",Developer / Engineer
Python developer,Beslist.nl,"Arnhem, Netherlands",25 September 2021,"Back end,Big Data,Cloud,Database,Front end,Web, Big Data, AWS, Git, Docker",Developer / Engineer
Python Automation Developer,Tekwissen,"Bangalore, Karnataka, India",23 September 2021,"Back end,Front end,Testing, Python Automation, Testing",Developer / Engineer
Senior Python Developer,Pocket Worlds,"Remote, Europe",22 September 2021,"Back end, Keywords: Python, AsyncIO, Go, AWS, Kubernetes",Developer / Engineer
Remote Python Engineers for Active Lifestyle Startup,Pocket Outdoor Media,"Boulder, Colorado, United States",21 September 2021,"Back end, Python, Django, RestApi's",Developer / Engineer
Remote Staff Python Engineers with Mapbox for Active Lifestyle Media Startup,Pocket Outdoor Media,"Boulder, Colorado, United States",21 September 2021,"Back end,Management, Python, Django, RestApi's",Developer / Engineer
Senior Python Developer,Zurich,"Barcelona, Barcelona, Spain",21 September 2021,"Back end,Cloud,Database,Finance,Front end,Integration,Operations,Systems,Testing,Text Processing,Web, .NET, Azure, Excel, Power Pivot, Power Query, data ingestion",Developer / Engineer
Python Developer,Referment,"London, United Kingdom",20 September 2021,Image Processing,Developer / Engineer
Software Engineer - Data Engineering,"ForeFlight, LLC","Austin / Houston / Portland, ME / Remote (US), United States",17 September 2021,"Back end,Cloud,Database,Image Processing,Operations,Systems,Text Processing, PostgreSQL, SQLite, AWS, GEOS, GDAL, QGIS, PDF",Developer / Engineer
Remote - Sr Python Developer,APPI,"Austin, TX, United States",17 September 2021,"Back end,Web",Developer / Engineer
Senior Backend Engineer,Kalepa,"New York, New York, United States",16 September 2021,"Back end,Cloud,Machine Learning,Systems, DataDog, Docker, CI/CD, AWS",Developer / Engineer
Remote - Sr Python Developer,ConsumerAffairs,"Austin, Texas, United States",14 September 2021,"Back end,Cloud, Django ORM, PostgreSQL, Javascript, AWS",Developer / Engineer
Python and Django back-end developer-remote,ExecutiveSurf,"London / Remote, United Kingdom / Remote",14 September 2021,"Back end, Python, Django, Docker",Developer / Engineer
Python Developer,Asper Brothers,"Warsaw / Remote, Mazowieckie, Poland",14 September 2021,"Back end, Django, Pytest",Developer / Engineer
Senior Software/Data Engineer - Python and SQL,WattTime.org,"Remote, U.S.-Only",13 September 2021,"Back end,Big Data,Database,Integration,Management,Systems",Developer / Engineer
Python Developer,Pixstone Images Private Limited,"Chennai, India",11 September 2021,"Back end,Front end",Manager / Executive
